a1_start,a2_start,a3_start,a4_start,a5_start,a6_start,a7_start,a8_start,a9_start,a10_start
512,1710,2905,4082,5298,6517,7723,8925,10106,11308
539,1735,2935,4135,5327,6550,7803,8996,10133,11332
564,1760,2963,4179,5360,6584,7886,9071,10158,11360
590,1785,2990,4219,5392,6620,7967,9150,10185,11384
617,1810,3020,4256,5425,6656,8048,9231,10212,11408
642,1835,3047,4294,5460,6693,8128,9310,10237,11433
670,1860,3076,4329,5493,6729,8210,9393,10263,11459
695,1885,3105,4364,5526,6765,8288,9476,10289,11483
722,1909,3134,4396,5562,6802,8365,9558,10316,11508
747,1933,3163,4432,5596,6838,8443,9641,10341,11532
771,1958,3192,4471,5631,6874,8524,9725,10370,11559
796,1982,3222,4505,5665,6911,,,10396,11583
822,2010,3252,4537,5699,6949,,,10422,11610
845,2033,3282,4573,5735,6984,,,10450,11632
871,2058,3311,4606,5770,7022,,,10476,11660
896,2083,3341,4643,5805,7060,,,10503,11685
922,2408,3371,4680,5839,7098,,,10529,11712
947,2433,3401,4717,5874,7135,,,10556,11738
974,2458,3432,4751,5909,7173,,,10582,11763
999,2483,3461,4788,5943,7209,,,10609,11789
1026,2208,3491,4820,5978,7246,,,10634,11818
1051,2233,3520,4855,6013,7283,,,10660,11841
1076,2259,3550,4887,6048,7321,,,10688,11868
1102,2282,3578,4922,6080,7357,,,10713,11894
1128,2307,3608,4953,6114,7393,,,10740,11921
1154,2332,3636,4986,6149,,,,10766,11948
1180,2356,3665,5016,6185,,,,10793,11975
1205,2381,3692,,6221,,,,10820,12000
1231,2406,3721,,,,,,10846,12027
1257,2431,3748,,,,,,10873,12051
1283,2456,3779,,,,,,10900,12079
1308,2480,3807,,,,,,10926,12103
1333,2505,,,,,,,10953,12130
1359,2529,,,,,,,10979,12153
1385,2554,,,,,,,11006,12181
1410,2575,,,,,,,,
,2601,,,,,,,,
